# Liste des UIDs des utilisateurs abonnés
# Format: UID|Date d'expiration (YYYY-MM-DD)
5986125634817413| 2029-12-03
9771194316264412| 2030-12-03
28457758927170814| 2030-12-03
9302244456538275| 2030-12-03
9693841470660915| 2025-06-30
6039658516099189| 2040-05-04
8192404674139390| 2050-02-01
9112979805413256| 2030-01-04
24119595170975658| 2030-01-04
9791607724231062| 2030-01-04
9613014018786415| 2030-01-04
9329488707180480| 2030-01-04
8713189958761608| 2030-01-04
9744016085711887| 2030-01-04
24355025637432033| 2030-01-04
9826452407436116| 2030-01-04
10017988191652454| 2030-01-04
9908815542506831| 2030-01-04
23888280750790137| 2030-01-04
24055139820750128| 2030-01-04
8356657521098534| 2030-01-04
9232970186733743| 2030-01-04
8748181628537095| 2030-01-04
27215201668128044| 2030-01-04
32516615711271177| 2030-01-04
25267264632880744| 2030-01-04
24335925982774981| 2030-01-04
31684988687811076| 2030-01-04
25147996821493292| 2030-01-04
9256611327715542| 2030-01-04
8929898493740200| 2030-01-04
25140445895657084| 2030-01-04
24905701912422043| 2090-01-04
24506333129040133| 2030-01-04
31451114191203834| 2030-01-04
24905701912422043| 2040-01-04
24910192261997648| 2040-01-04
26114798778108229| 2030-01-04
32518484177799346| 2030-01-04
24927058340329212| 2030-01-04

