# Liste des UIDs des utilisateurs VIP
# Format: UID|Date d'expiration (YYYY-MM-DD)
# Les administrateurs ont automatiquement accès aux commandes VIP
9112979805413256| 2030-01-04
32516615711271177| 2030-01-04
8748181628537095| 2030-01-04
24119595170975658| 2030-01-04
9302244456538275| 2030-01-04
9771194316264412| 2030-01-04
24294266550249545| 2030-01-04
8713189958761608| 2030-01-04
9256611327715542| 2030-01-04
9791607724231062| 2030-01-04
24696087633397469| 2030-01-04
8691491244230576| 2030-01-04
25507302635620528| 2030-01-04
26309231308688687| 2030-01-04
